effort_id,date,activity_name,segment_id,segment_name,actual_time_s,predicted_time_s,gap_s,draft_status
3420459518362846034,2025-11-03T15:33:22,Sortie vélo dans l'après-midi,10140676,jettingen - D419 climb,148,127.90244769442664,-20.09755230557336,unknown
3377704304223100536,2025-07-08T15:40:58,Sortie vélo dans l'après-midi,11047244,Schlierbach - Dietwiller,68,47.03288184400772,-20.96711815599228,unknown
3233123809223843340,2024-06-04T16:09:58,Sortie vélo dans l'après-midi,28296786,A bloc dans les champs vers Franken!!! VLT,77,55.846952600872655,-21.153047399127345,unknown
3400885925531859626,2025-09-10T14:59:18,Sortie vélo dans l'après-midi,12718756,Hippoltskirch - Raedersdorf Sprint,114,92.537894056368,-21.462105943631997,unknown
3341425904896604428,2025-03-30T13:24:41,Sortie vélo dans l'après-midi,22049362,Jet sprint,51,29.52610420218024,-21.47389579781976,unknown
3282353955772547238,2024-10-18T13:18:12,Sortie vélo dans l'après-midi,6845487,Rämpli,318,296.1273734008307,-21.87262659916928,unknown
3288924346877292322,2024-11-05T15:26:11,Bike ride au sunset,28296786,A bloc dans les champs vers Franken!!! VLT,78,55.846952600872655,-22.153047399127345,unknown
3529066120788807628,2026-08-30T08:18:28,Sortie vélo le matin,4611692,Power and Push,152,129.57862664655724,-22.42137335344276,unknown
3383502281259584024,2025-07-24T16:00:35,Sortie vélo dans l'après-midi,22049362,Jet sprint,52,29.52610420218024,-22.47389579781976,unknown
3272943048670203046,2024-09-22T13:47:43,Sortie vélo dans l'après-midi,6826358,montée de rantzwiller,236,213.52352629905752,-22.476473700942478,unknown
3225139837638444818,2024-05-13T16:22:32,Sortie vélo dans l'après-midi,8459792,Bertenheim - Sierentz,132,109.40558700032723,-22.59441299967277,unknown
3498631251095394176,2026-06-07T08:24:58,Sortie vélo le matin,16121300,Eschentzwiller - Habsheim,87,64.05427369026981,-22.94572630973019,unknown
3282022195423038936,2024-10-17T14:58:24,Sortie vélo dans l'après-midi,28296786,A bloc dans les champs vers Franken!!! VLT,79,55.846952600872655,-23.153047399127345,unknown
3331663933782319948,2025-03-03T14:46:08,Sortie vélo dans l'après-midi,28296786,A bloc dans les champs vers Franken!!! VLT,79,55.846952600872655,-23.153047399127345,unknown
3279444098991767704,2024-10-10T12:13:29,Sortie vélo dans l'après-midi,16121300,Eschentzwiller - Habsheim,88,64.05427369026981,-23.94572630973019,unknown
3294347685409128352,2024-11-20T15:43:04,Vite avant la neige 🥶,22049362,Jet sprint,54,29.52610420218024,-24.47389579781976,unknown
3516779807761784056,2026-07-27T10:17:21,Sortie vélo le midi,9113522,Rolling down Folgensbourg ~ Hagental,328,303.4163363225544,-24.5836636774456,unknown
3416471707402118360,2025-10-23T14:54:21,Tempête ⛈️,12505001,Coup de cul de Folgensbourg,94,68.60865790740621,-25.39134209259379,unknown
3480258563292114418,2026-04-17T15:08:28,Beau tour avec Arnaud et Joël ☀️,12718756,Hippoltskirch - Raedersdorf Sprint,118,92.537894056368,-25.462105943631997,unknown
3516390086277376040,2026-07-26T08:31:13,Morning Ride,6845487,Rämpli,323,296.1273734008307,-26.87262659916928,unknown
3515766077643854964,2026-07-24T15:26:06,"Avec Arnaud , Jonathan et Joel ! 🥵🥵",12718646,Raedersdorf Bosse Sprint ,207,179.91678311819877,-27.083216881801235,unknown
3263537059039295088,2024-08-27T15:11:03,Sortie vélo dans l'après-midi,21002780,Faux Plat - Hardt Section 3,73,45.79402959263938,-27.205970407360617,unknown
3225139837637203730,2024-05-13T15:14:32,Sortie vélo dans l'après-midi,34676821,Grimpette depuis fontaine Schlierbach,76,48.77080466210287,-27.22919533789713,unknown
3527623301626139954,2026-08-26T08:01:54,Sortie vélo le matin,15513338,D57 short,239,211.53251606701895,-27.467483932981054,unknown
3230931805363244876,2024-05-29T15:36:25,Sortie vélo dans l'après-midi,22049362,Jet sprint,57,29.52610420218024,-27.47389579781976,unknown
3207739199617594162,2024-03-26T15:38:39,Sortie vélo dans l'après-midi,22049362,Jet sprint,57,29.52610420218024,-27.47389579781976,unknown
3229122131013676048,2024-05-24T16:07:28,Sortie vélo dans l'après-midi,8459792,Bertenheim - Sierentz,137,109.40558700032723,-27.59441299967277,unknown
3529066120788422604,2026-08-30T08:13:45,Sortie vélo le matin,16768815,Montée St Blaise / Bettlach (rue des Romains),228,199.99862156971304,-28.001378430286962,unknown
3399703045470457048,2025-09-07T08:54:44,Sortie vélo le matin,16768815,Montée St Blaise / Bettlach (rue des Romains),228,199.99862156971304,-28.001378430286962,unknown
3383502281258982936,2025-07-24T15:53:37,Sortie vélo dans l'après-midi,28296786,A bloc dans les champs vers Franken!!! VLT,84,55.846952600872655,-28.153047399127345,unknown
3331663933784719180,2025-03-03T14:52:59,Sortie vélo dans l'après-midi,22049362,Jet sprint,58,29.52610420218024,-28.47389579781976,unknown
3377704304225090168,2025-07-08T15:54:36,Sortie vélo dans l'après-midi,6826358,montée de rantzwiller,242,213.52352629905752,-28.476473700942478,unknown
3416471698131568856,2025-10-23T15:33:39,Tempête ⛈️,7464088,Mur de Franken,147,118.50061513888753,-28.499384861112475,unknown
3479536233148965664,2026-04-15T14:55:13,Sortie vélo dans l'après-midi,27421343,Bunker-golf,160,131.11169044815114,-28.888309551848863,unknown
3225139837637468946,2024-05-13T15:15:15,Sortie vélo dans l'après-midi,11047244,Schlierbach - Dietwiller,76,47.03288184400772,-28.96711815599228,unknown
3344712352192885524,2025-04-08T14:51:57,Sortie vélo dans l'après-midi,28296786,A bloc dans les champs vers Franken!!! VLT,85,55.846952600872655,-29.153047399127345,unknown
3521084903594617624,2026-08-08T06:09:02,Morning Ride,6698872,Hagenthal le Haut,495,465.40298924199357,-29.597010758006434,unknown
3475446714181055386,2026-04-04T08:30:27,Sortie vélo le matin,27421343,Bunker-golf,161,131.11169044815114,-29.888309551848863,unknown
3294347685409654688,2024-11-20T15:43:10,Vite avant la neige 🥶,10140676,jettingen - D419 climb,159,127.90244769442664,-31.09755230557336,unknown
3482783529600396874,2026-04-24T15:09:46,Sortie vélo dans l'après-midi,12718756,Hippoltskirch - Raedersdorf Sprint,124,92.537894056368,-31.462105943631997,unknown
3300125548512353574,2024-12-06T13:47:06,Sortie vélo dans l'après-midi,15513338,D57 short,243,211.53251606701895,-31.467483932981054,unknown
3527623301627267378,2026-08-26T08:01:35,Sortie vélo le matin,8822290,Habsheim - Pont de Petit-Landau,434,401.51195020657684,-32.48804979342316,unknown
3514649797581209694,2026-07-21T12:47:41,Sortie vélo dans l'après-midi,34523060,Montée de Waltenheim à la rue des champs,92,58.95813193722008,-33.04186806277992,unknown
3232376739587431254,2024-06-02T15:19:46,Sortie vélo dans l'après-midi,21002780,Faux Plat - Hardt Section 3,79,45.79402959263938,-33.20597040736062,unknown
3342544485694171234,2025-04-02T15:03:25,Sortie vélo dans l'après-midi,28296786,A bloc dans les champs vers Franken!!! VLT,91,55.846952600872655,-35.153047399127345,unknown
3203400760828114124,2024-03-14T16:16:05,Sortie vélo dans l'après-midi,22049362,Jet sprint,65,29.52610420218024,-35.473895797819765,unknown
3527991152864509234,2026-08-27T09:24:18,Sortie vélo le matin,8459792,Bertenheim - Sierentz,145,109.40558700032723,-35.59441299967277,unknown
3404763133213601484,2025-09-21T07:46:51,Sortie vélo le matin,8459792,Bertenheim - Sierentz,145,109.40558700032723,-35.59441299967277,unknown
3238165397254673740,2024-06-18T14:02:37,Sortie vélo dans l'après-midi,16121300,Eschentzwiller - Habsheim,100,64.05427369026981,-35.94572630973019,unknown
